lab_id,site_id,c14_age,c14_error,curve
SUA-1924,Victoria Volcanic Plain,340,60,shcal20
Beta-44525,Sydney Basin,340,60,shcal20
Wk-7604,Ord Victoria Plain,340,60,shcal20
V-26,NSW North Coast,351,60,shcal20
Wk-411,South East Coastal Plain,360,60,shcal20
ANU-8421,Sydney Basin,360,60,shcal20
Wk-4534,Sydney Basin,370,60,shcal20
ANU-1047,South Eastern Highlands,370,60,shcal20
Wk-7431,Darwin Coastal,400,60,shcal20
ANU-4038B,Murray Darling Depression,410,60,shcal20
ANU-8436,Sydney Basin,420,60,shcal20
ANU-4979,South East Coastal Plain,450,60,shcal20
ANU-896,Sydney Basin,470,60,shcal20
ANU-8228B,South East Corner,530,60,shcal20
ANU-1048,Australian Alps,550,60,shcal20
Wk-5127,Channel Country,580,60,shcal20
Beta-75517,Riverina,590,60,shcal20
Beta-39208,Sydney Basin,600,60,shcal20
Wk-7400,Darwin Coastal,630,60,shcal20
Beta-48520,Sydney Basin,700,60,shcal20
Beta-13482,Cape York Peninsula,760,60,shcal20
Beta-56975,Arnhem Coast,800,60,shcal20
ANU-11907,Desert Uplands,870,60,shcal20
ANU-8979,Sydney Basin,900,60,shcal20
SUA-262C,Sydney Basin,910,60,shcal20
Wk-3423,Southern East Queensland,930,60,shcal20
Beta-81816,Victoria Bonaparte,950,60,shcal20
Beta-98031,Southern East Queensland,970,60,shcal20
Wk-4102,Broken Hill Complex,980,60,shcal20
Beta-37394,Southern East Queensland,980,60,shcal20
ANU-1778,King,1000,60,shcal20
Wk-8001,Pilbara (inland),1000,60,shcal20
ANU-1050,South Eastern Highlands,1000,60,shcal20
SUA-1929,Riverina,1030,60,shcal20
Wk-7691,Victoria Bonaparte,1050,60,shcal20
Beta-66451,Sydney Basin,1070,60,shcal20
GaK-463,NSW North Coast,1090,60,shcal20
ANU-6946,Tasmanian South East,1100,60,shcal20
Wk-2083,Sydney Basin,1170,60,shcal20
SUA-1921,Victoria Volcanic Plain,1190,60,shcal20
Wk-413,South East Coastal Plain,1230,60,shcal20
SUA-1927,Riverina,1250,60,shcal20
Wk-5126,Channel Country,1260,60,shcal20
Wk-6622,Channel Country,1280,60,shcal20
Wk-6037,Channel Country,1310,60,shcal20
Beta-69642,Victoria Midlands,1390,60,shcal20
SUA-1928,Riverina,1390,60,shcal20
ANU-1020,Sydney Basin,1410,60,shcal20
Beta-16298,Southern East Queensland,1420,60,shcal20
Wk-6039,Channel Country,1440,60,shcal20
Beta-7063,Victoria Volcanic Plain,1470,60,shcal20
Wk 5396,Murray Darling Depression,1510,60,shcal20
ANU-8133,Sydney Basin,1540,60,shcal20
ANU-1049,Australian Alps,1600,60,shcal20
Beta-88519,Victoria Midlands,1720,60,shcal20
Beta-16651,South Eastern Highlands,1730,60,shcal20
ANU-8426,Sydney Basin,1740,60,shcal20
Beta-36303,Southern East Queensland,1750,60,shcal20
SUA-2351,Sydney Basin,1780,60,shcal20
SUA-2352,Sydney Basin,1780,60,shcal20
Beta-65748,Sydney Basin,1790,60,shcal20
Beta-39465,Sydney Basin,1890,60,shcal20
Beta-7064,Victoria Volcanic Plain,1900,60,shcal20
ANU-1021,Sydney Basin,1930,60,shcal20
Wk 5258,Murray Darling Depression,2020,60,shcal20
CAMS-44350,Victoria Bonaparte,2130,60,shcal20
ANU-1844,Pilbara (coast),2180,60,shcal20
Beta-11896,Sydney Basin,2200,60,shcal20
Beta-88520,Victoria Midlands,2220,60,shcal20
Beta-29211,Sydney Basin,2370,60,shcal20
CAMS-45667,Victoria Bonaparte,2370,60,shcal20
Beta-53301,NSW North Coast,2420,60,shcal20
Beta-36304,Southern East Queensland,2480,60,shcal20
Beta-7067,Riverina,2490,60,shcal20
Beta-38415,Southern East Queensland,2660,60,shcal20
Beta-39202,Sydney Basin,2750,60,shcal20
ANU-8764,South East Corner,2770,60,shcal20
Beta-32046,Southern East Queensland,2950,60,shcal20
ANU-8312,Sydney Basin,3150,60,shcal20
OZD-454,Victoria Bonaparte,3160,60,shcal20
SUA-2413,Sydney Basin,3450,60,shcal20
NZA-12117,Southern East Queensland,3500,60,shcal20
NZA-12273,Southern East Queensland,3570,60,shcal20
R-4824,Victoria Volcanic Plain,3600,60,shcal20
SUA-2018,Victoria Volcanic Plain,3620,60,shcal20
CAMS-45669,Victoria Bonaparte,3640,60,shcal20
NZA-12118,Southern East Queensland,3660,60,shcal20
CAMS-44351,Victoria Bonaparte,4180,60,shcal20
Wk-7605,Ord Victoria Plain,5290,60,shcal20
AA-5850,Sydney Basin,6085,60,shcal20
OZL-609,Victoria Volcanic Plain,8070,60,shcal20
GaK-397,Naracoorte Coastal Plain,8250,60,shcal20
NZA-8538,Victoria Midlands,8926,60,shcal20
R2040/5,Southern East Queensland,9790,60,shcal20
Wk-16167,Sydney Basin,9376,61,shcal20
Wk-12320,Murray Darling Depression,967,62,shcal20
ANU-56,Nandewar,2290,62,shcal20
Wk-10500,Channel Country,729,63,shcal20
NZA-8537,Victoria Midlands,9024,63,shcal20
V-49,Cobar Peneplain,200,65,shcal20
Beta-1690,Victoria Volcanic Plain,960,65,shcal20
ANU-1181,South Eastern Highlands,1010,65,shcal20
N-1661,Riverina,2010,65,shcal20
ANU-54,Nandewar,2760,65,shcal20
OxA-7369,Victoria Bonaparte,5840,65,shcal20
V-24,NSW North Coast,4042,66,shcal20
Wk-11562,South Eastern Highlands,12178,66,shcal20
NZA-3964,South East Coastal Plain,3538,68,shcal20
Wk-9995,Murray Darling Depression,848,69,shcal20
ANU-827,Swan Coastal Plain,110,70,shcal20
SUA-1919,South East Corner,150,70,shcal20
Beta-21540,Naracoorte Coastal Plain,150,70,shcal20
ANU-7670B,Murray Darling Depression,190,70,shcal20
ANU-6842,Nullarbor,220,70,shcal20
SUA-1917,Riverina,260,70,shcal20
ANU-6447,Sydney Basin,270,70,shcal20
GX14607,Simpson Strzelecki Dunefields,275,70,shcal20
Beta-21543,Naracoorte Coastal Plain,290,70,shcal20
SUA-1495,Victoria Midlands,330,70,shcal20
ANU-6448,Sydney Basin,330,70,shcal20
Wk-5581,Darwin Coastal,350,70,shcal20
ANU-1238,Naracoorte Coastal Plain,350,70,shcal20
ANU-1621,King,420,70,shcal20
Beta 35210,Channel Country,430,70,shcal20
ANU-8437,Sydney Basin,430,70,shcal20
ANU-3761,South East Coastal Plain,440,70,shcal20
SUA-2255,Sydney Basin,480,70,shcal20
ANU-1833,Pilbara (coast),500,70,shcal20
Beta-45946,Riverina,510,70,shcal20
SUA-2177,South Eastern Highlands,550,70,shcal20
ANU-8438,Sydney Basin,550,70,shcal20
SUA-1456,Victoria Volcanic Plain,580,70,shcal20
ANU-11908,Desert Uplands,630,70,shcal20
ANU-8423,Sydney Basin,690,70,shcal20
Beta-14848,Naracoorte Coastal Plain,700,70,shcal20
ANU-1985,Sydney Basin,710,70,shcal20
ANU-1546,Naracoorte Coastal Plain,720,70,shcal20
ANU-123,Sydney Basin,730,70,shcal20
ANU 666,Murray Darling Depression,740,70,shcal20
ANU 675,Murray Darling Depression,750,70,shcal20
ANU-1620,King,760,70,shcal20
ANU-1698,King,870,70,shcal20
Beta 33937,Channel Country,880,70,shcal20
ANU-7501B,South East Corner,910,70,shcal20
SUA-155,Sydney Basin,980,70,shcal20
ANU 674,Murray Darling Depression,990,70,shcal20
Beta-29213,Sydney Basin,1020,70,shcal20
ANU-1171,Naracoorte Coastal Plain,1030,70,shcal20
Wk-7693,Victoria Bonaparte,1060,70,shcal20
ANU-6451,South East Coastal Plain,1100,70,shcal20
ANU-1183,South Eastern Highlands,1110,70,shcal20
V-20,Tasmanian West,1120,70,shcal20
ANU-1245,Naracoorte Coastal Plain,1160,70,shcal20
Beta-39205,Sydney Basin,1200,70,shcal20
V-43,NSW North Coast,1225,70,shcal20
ANU-6353,Naracoorte Coastal Plain,1230,70,shcal20
Wk-415,South East Coastal Plain,1280,70,shcal20
V-41,NSW North Coast,1310,70,shcal20
ANU-1699,King,1370,70,shcal20
SUA-1695B,Murray Darling Depression,1380,70,shcal20
Wk-6620,Channel Country,1390,70,shcal20
SUA-2256,Sydney Basin,1520,70,shcal20
ANU-8981,Sydney Basin,1530,70,shcal20
V-19,King,1560,70,shcal20
ANU-1169,Naracoorte Coastal Plain,1590,70,shcal20
ANU-6446,Sydney Basin,1630,70,shcal20
ANU-139,Sydney Basin,1660,70,shcal20
ANU-8428,Sydney Basin,1780,70,shcal20
Beta-1213,Sydney Basin,1840,70,shcal20
Wk-6527,Darwin Coastal,1850,70,shcal20
ANU-8135,Sydney Basin,1860,70,shcal20
OZF-391,Murray Darling Depression,1900,70,shcal20
Beta-16652,South Eastern Highlands,1980,70,shcal20
ANU-1870,Pilbara (coast),2010,70,shcal20
SUA-1922,Victoria Volcanic Plain,2040,70,shcal20
GaK-1187,Nandewar,2040,70,shcal20
ANU-7193,Tasmanian Southern Ranges,2070,70,shcal20
SUA-1925,Victoria Volcanic Plain,2080,70,shcal20
Beta-119475,Sydney Basin,2130,70,shcal20
Beta-61795,Victoria Volcanic Plain,2160,70,shcal20
Wk-2701,Sydney Basin,2170,70,shcal20
SUA-2257,Sydney Basin,2220,70,shcal20
Wk-2961,Sydney Basin,2230,70,shcal20
ANU-8427,Sydney Basin,2250,70,shcal20
Beta-27078,Tasmanian Southern Ranges,2450,70,shcal20
Wk-2513,Sydney Basin,2510,70,shcal20
ANU-1362,King,2580,70,shcal20
Wk-2690,Sydney Basin,2590,70,shcal20
Beta-47222,Tiwi Coburg,2590,70,shcal20
SUA-25,Sydney Basin,2650,70,shcal20
ANU-6843,Nullarbor,2800,70,shcal20
Beta-83636,Victoria Bonaparte,2920,70,shcal20
SUA-3353,Flinders Lofty Block,2950,70,shcal20
ANU-1231,Naracoorte Coastal Plain,2990,70,shcal20
ANU-1751C,Murray Darling Depression,3080,70,shcal20
Beta-62207,Sydney Basin,3120,70,shcal20
Wk-8845,Sydney Basin,3240,70,shcal20
ANU-8422,Sydney Basin,3280,70,shcal20
OZD-958,Arnhem Plateau,3820,70,shcal20
SUA-886,Swan Coastal Plain,4530,70,shcal20
R2526/13,Southern East Queensland,4560,70,shcal20
ANU-6844,Nullarbor,5460,70,shcal20
Beta-53303,NSW North Coast,6070,70,shcal20
Beta-58866,NSW North Coast,6760,70,shcal20
Beta-2855,Tasmanian South East,7560,70,shcal20
SUA-2410,Sydney Basin,8730,70,shcal20
SUA-2445,Warren,11060,70,shcal20
Beta-74543/CAMS-14912,Tasmanian Southern Ranges,16670,70,shcal20
NZ-1221,Victoria Volcanic Plain,7716,72,shcal20
Wk-10831,Murray Darling Depression,2004,73,shcal20
NZA-3112,Sydney Basin,5957,74,shcal20
ANU-204,Gawler,235,75,shcal20
V-50,Cobar Peneplain,310,75,shcal20
SUA-47,Sydney Basin,320,75,shcal20
ANU-2422,Victoria Volcanic Plain,390,75,shcal20
ANU-534,Sydney Basin,570,75,shcal20
SUA-58,Victoria Bonaparte,680,75,shcal20
